Name,Location,Industry
63 Moons Technologies,"Mumbai","Technology, Software, Financial technology"
Aban Offshore,"Chennai","Energy, Oil & gas offshore drilling & other services, Oil, petrochemical"
ABG Shipyard,"Ahmedabad","Industrials, Shipbuilding, Ship building"
ABP Group,"Kolkata","Consumer services, Broadcasting & entertainment, Media, news"
ACC,"Mumbai","Industrials, Cement, Cement"
ACG Group,"Mumbai","Industrials, Machinery: specialty, Pharmaceutical industry machinery & medicinal materials manufacturer"
Acko General Insurance,"Mumbai","Insurance, Full line insurance, Insurance"
Action Construction Equipment,"Faridabad","Industrials, Machinery: construction & handling, Bulldozers, cranes"
Action Group,"New Delhi","Conglomerate, —, Apparel, chemicals, retail, steel"
Adani Group,"Ahmedabad","Conglomerate, —, Conglomerate"
Adani Power,"Mumbai","Utilities, Alternative electricity, Thermal & solar power generation, part ofAdani Group"
Aditya Birla Fashion and Retail,"Mumbai","Retail, Apparel retailers, Clothing retailer"
Aditya Birla Group,"Mumbai","Conglomerate, —, Agribusiness, cement, chemicals"
Ador Group,"Mumbai","Conglomerate, —, Electronics, energy, chemicals"
Advanced Weapons and Equipment India,"Kanpur","Industrials, Defense, Weapons"
Afcons Infrastructure,"Mumbai","Industrials, Construction, Constructions"
Agriculture Insurance Company of India,"New Delhi","Insurance, Full line insurance, Insurance"
Air Costa,"Vijayawada","Consumer services, Airlines, Defunct 2017"
Air India,"New Delhi","Consumer services, Airlines, Airline, part ofTata Sons"
Air India Express,"Kochi","Consumer services, Airlines, Low-cost airline, part ofAir India"
Ajanta Group,"Ahmedabad","Conglomerate, —, Textile, transport, construction machinery"
Alkem Laboratories,"Mumbai","Health care, Pharmaceuticals, Pharma"
Allcargo Logistics,"Mumbai","Industrials, Industrial transportation, Logistics & transportation"
Amartex,"Gurugram","Basic materials, Textile products, Textiles"
Ambuja Cements,"Mumbai","Industrials, Cement, Cement"
Amrutanjan Healthcare,"Chennai","Health care, Ayurvedic producers, Alternative medicines"
Amul,"Anand","Consumer goods, Food products, Dairy"
Angel One,"Mumbai","Financials, Investment services, Stock broker"
Apollo Hospitals,"Chennai","Health care, Health care providers, Hospital chain"
Apollo Tyres,"Gurugram","Consumer goods, Tires, Tyres, parts"
Aptech,"Mumbai","Industrials, Business training & employment agencies, Training"
Archies,"New Delhi","Retail, Specialty retailers, Greeting cards"
Arise India,"Delhi","Consumer goods, Consumer electronics, Electrical goods, home appliances"
Armoured Vehicles Nigam,"Chennai","Industrials, Defense, Armoured military vehicles"
Artemis Hospital,"Gurugram","Health care, Health care providers, Hospitals"
Arvind,"Ahmedabad","Conglomerate, —, Clothing, engineering, real estate"
Ashok Leyland,"Chennai","Industrials, Commercial vehicles & parts, Bus, trucks, defense vehicles, joint venture ofHinduja Group&Nissan(Japan)"
Asia MotorWorks,"Mumbai","Industrials, Commercial vehicles & parts, Trucks"
Asian Paints,"Mumbai","Industrials, Paints and coatings, Paints"
Atul,"Ahmedabad","Chemicals, Chemicals: diversified, Integrated chemicals"
Atul Auto,"Rajkot","Consumer goods, Automobiles, Auto-rickshaws"
Avantha Group,"New Delhi","Conglomerate, —, Chemicals, I/T, BPO"
Axis Bank,"Ahmedabad","Financials, Banks"
Bajaj Auto,"Pune","Consumer goods, Automobiles, Motorcycles, part ofBajaj Group"
Bajaj Group,"Pune","Conglomerate, —, Motorcycles, financial services, electricals, sugar, iron & steel, insurance, consumer goods"
Balaji Telefilms,"Mumbai","Consumer services, Broadcasting & entertainment, Film production"
Balaji Wafers,"Mumbai","Consumer goods, Food products, Potato chips"
Ballarpur Industries,"Gurugram","Basic materials, Paper, Paper"
Bank of Baroda,"Vadodara","Financials, Banks, State-owned bank"
Bank of India,"Mumbai","Financials, Banks, Government-owned bank"
Bellatrix Aerospace,"Bengaluru","Industrials, Aerospace, space industry, Launch vehicles & satellites"
BEML,"Bengaluru","Industrials, Commercial vehicles & parts, Defense vehicles, heavy construction vehicles, rail vehicles"
BGR Energy Systems,"Chennai","Industrials, Engineering and contracting services"
Bharat Aluminium Company,"New Delhi","Basic materials, Aluminium, Aluminium, part ofVedanta Resources(UK)"
Bharat Biotech,"Hyderabad","Health care, Pharmaceuticals & biotechnology, Drug development & vaccines"
Bharat Dynamics Limited,"Hyderabad","Industrials, Aerospace & defense, State-owned missiles, defense"
Bharat Electronics,"Bengaluru","Industrials, Aerospace & defense, State-owned electronics, defense"
Bharat Forge,"Pune","Industrials, Industrial engineering, Engineering and machinery, part ofKalyani Group"
Bharat Heavy Electricals Limited,"New Delhi","Industrials, Electrical components, State electrical engineering"
Bharat Petroleum,"Mumbai","Energy, Oil refining & marketing, refineries, petrochemical"
Bharat Sanchar Nigam Limited,"New Delhi","Telecommunications, Telecommunications service providers, Fixed-line telecommunications"
BHAVINI,"Chennai","Utilities, Conventional electricity, State nuclear power generation"
Bharti Airtel,"New Delhi","Telecommunications, Telecommunications services, Mobile network"
Biocon,"Bengaluru","Health care, Pharmaceuticals & biotechnology, Pharmaceutical ingredients"
Blue Star,"Mumbai","Consumer goods, Consumer electronics, Home appliances"
BluSmart Mobility,"Gurugram","Consumer goods, Auto services, Taxi services, ride-sharing"
Bombay Dyeing,"Mumbai","Basic materials, Textile products, Textiles"
Bonn Group of Industries,"Ludhiana","Consumer goods, Food products, Baked goods"
Borosil,"Mumbai","Industrials, Glass, Glassware"
BPL Group,"Palakkad","Consumer goods, Consumer electronics, Consumer electronics, healthcare equipment"
BrahMos Aerospace,"New Delhi","Industrials, Aerospace & defense, State-owned missile systems, joint venture withTactical Missiles Corporation(Russia)"
Brigade Group,"Bengaluru","Real estate, Real estate holding & development, Real estate"
Britannia Industries,"Kolkata","Consumer goods, Food products, Food products"
Café Coffee Day,"Bengaluru","Consumer services, Restaurants & bars, Cafe chain"
Canara Bank,"Bengaluru","Financials, Banks, State-owned bank"
CaratLane,"Chennai","Retail, Specialty retailers, Luxury items retail, owned byTitan Company"
CEAT,"Mumbai","Consumer goods, Tires, Tyres"
Celkon,"Hyderabad","Consumer goods, Consumer electronics, Mobile handsets"
Central Bank of India,"Mumbai","Financials, Banks, Central bank"
Centum Electronics,"Bengaluru","Industrials, Electronic & electrical equipment, Electronics"
Century Plyboards,"Kolkata","Industrials, Building materials: other, Plywood"
CESC Limited,"Kolkata","Utilities, Conventional electricity, Thermal power generation"
CG Power and Industrial Solutions,"Mumbai","Industrials, Diversified industrials, Electrical engineering, power generation"
Chennai Petroleum Corporation,"Chennai","Energy, Oil refining & marketing, refineries, part ofIndian Oil Corporation"
Cipla,"Mumbai","Health care, Pharmaceuticals, Pharma"
City Union Bank,"Kumbakonam","Financials, Banks, Bank"
CMC,"New Delhi","Industrials, Business support services, Information technology consulting"
Coal India,"Kolkata","Energy, Coal, Coal mining"
Cochin Minerals and Rutile Limited,"Kochi","Chemicals, Specialty chemicals, Minerals"
Cochin Shipyard,"Kochi","Industrials, Shipbuilding, Ship building"
Computer Age Management Services,"Chennai","Financials, Investment services, Stock market, mutual funds"
Container Corporation of India,"New Delhi","Industrials, Railroads, Cargo rail transportation, part ofIndian Railways"
Coromandel International,"Hyderabad","Chemicals, Fertilizers, Fertilizers, pesticides"
Cosmic Circuits,"Bengaluru","Technology, Semiconductors, Acquired byCadence Design Systems(USA)"
Crossword Bookstores,"Mumbai","Retail, Specialty retailers, Bookstore"
CSB Bank,"Thrissur","Financials, Banks, Private bank"
Cyient,"Hyderabad","Technology, Software & IT services, Engineering outsourcing services, software management & technology consulting"
Dabur,"Ghaziabad","Health care, Ayurvedic producers, Alternative medicines"
Damodar Valley Corporation,"Kolkata","Utilities, Conventional electricity, Hydropower"
Deccan Charters,"Bengaluru","Consumer services, Airlines, Charter airline"
Dedicated Freight Corridor Corporation of India,"New Delhi","Industrials, Railroads, Freight transport, part ofMinistry of Railways (India)"
Dempo,"Panaji","Basic materials, General mining, Mining"
Dena Bank,"Mumbai","Financials, Banks, State bank"
Dish TV,"Noida","Consumer services, Broadcasting & entertainment, Satellite television"
Dixon Technologies,"Noida","Industrials, Electronic & electrical equipment, Electronics manufacturing services"
DLF,"New Delhi","Real estate, Real estate holding & development, Developer"
DMart,"Mumbai","Retail, Diversified retailers, Supermarkets"
Dr. Reddy's Laboratories,"Hyderabad","Health care, Pharmaceuticals, Pharma"
Dynamatic Technologies,"Bengaluru","Industrials, Industrial engineering, Aerospace, automotive, hydraulics, security"
EaseMyTrip,"New Delhi","Consumer services, Travel & tourism, Travel booking"
Edelweiss Group,"Mumbai","Financials, Financial services, Finance & investment"
Eicher Motors,"Gurugram","Industrials, Commercial vehicles & parts, Bus, trucks"
EID Parry,"Chennai","Consumer goods, Food products, Sugar, distillery"
Electronics Corporation of India Limited,"Hyderabad","Industrials, Electronic & electrical equipment, Nuclear electronics"
eLitmus,"Bengaluru","Industrials, Business training & employment agencies, Assessment exam"
Emami,"Kolkata","Conglomerate, —, Fast-moving consumer goods, healthcare, retail, cement, real estate"
Emcure Pharmaceuticals,"Pune","Health care, Pharmaceuticals, Pharma"
Engineers India,"New Delhi","Industrials, Engineering and contracting services, Engineering and consulting"
English Indian Clays,"New Delhi","Basic materials, General mining, Clay"
Escorts Kubota Limited,"Faridabad","Industrials, Industrial engineering, Heavy equipment, machines"
Essar Group,"Mumbai","Conglomerate, —, Steel, oil & gas, shipping, real estate"
Essel Group,"Mumbai","Conglomerate, —, Media, technology, basic materials"
Eureka Forbes,"Mumbai","Consumer goods, Consumer electronics, Home appliances"
Eveready Industries India,"Kolkata","Consumer goods, Durable household products, Batteries, flashlights, lamps"
Exide Industries,"Kolkata","Industrials, Electrical components, Batteries"
Exide Life Insurance,"Bengaluru","Financials, Life insurance, Life insurance, part ofExide Industries"
Federal Bank,"Kochi","Financials, Banks, Private bank"
Firstsource,"Mumbai","Industrials, Business support services, BPO"
Flipkart,"Bengaluru","Technology, Consumer digital services, E-commerce"
Forbes & Company Limited,"Mumbai","Conglomerate, —, Banking kiosk, ATM, robotics, industrial automation, logistics, part ofShapoorji Pallonji Group"
Force Motors,"Pune","Consumer goods, Automobiles, Automotive"
Fortis Healthcare,"Gurugram","Health care, Health care providers, Hospitals"
Future Group,"Mumbai","Retail, Diversified retailers, Defunct 2022, acquired byReliance Industries"
GAIL,"New Delhi","Utilities, Gas distribution, Natural gas"
Galaxy Surfactants,"Navi Mumbai","Chemicals, Specialty chemicals, Chemicals"
Garden Reach Shipbuilders & Engineers,"Kolkata","Industrials, Shipbuilding, Ship building"
Geojit Financial Services,"Kochi","Financials, Investment services, Investment advisory services"
Gini & Jony,"Mumbai","Consumer goods, Clothing & accessories, Children's clothes"
Glenmark Pharmaceuticals,"Mumbai","Health care, Pharmaceuticals, Pharma"
Gliders India,"Nagpur","Industrials, Defense, Military parachute manufacturer"
GMR Group,"New Delhi","Real estate, Real estate holding & development, Development projects"
Go First,"Mumbai","Consumer services, Airlines, Low-cost airline"
Goa Shipyard,"Goa","Industrials, Shipbuilding, Ship building"
Godrej Group,"Mumbai","Conglomerate, —, Aerospace, consumer goods, real estate"
Great Eastern Shipping,"Mumbai","Industrials, Marine transportation, Shipping"
Greaves Cotton,"Mumbai","Industrials, Industrial engineering, Engines, gensets, construction equipment, farm equipment & pumps"
Greenply,"Tinsukia","Industrials, Building materials: other, Plywood"
Gujarat Alkalies and Chemicals Limited,"Noida","Chemicals, Specialty chemicals, Produce chemicals"
Gujarat Mineral Development Corporation,"Ahmedabad","Basic materials, General mining, Mining, metals"
Gujarat State Fertilizers and Chemicals,"Vadodara","Chemicals, Fertilizers, Fertilizers"
Gujarat State Petroleum Corporation,"Ahmedabad","Energy, Oil refining & marketing, Petrochemicals refining"
GVK Industries,"Hyderabad","Conglomerate, —, Energy, transportation, hospitality"
Haldiram's,"Bikaner","Consumer goods, Food products, Sweets and snacks"
Haptik,"Mumbai","Technology, Software, AI Software, part of Jio Platforms"
Hatsun Agro Product,"Chennai","Consumer goods, Food products, Arun Icecreams, Arokya Milk, Hatsun Daily, Ibaco, Oyalo, Santosa"
Havells,"Noida","Industrials, Electrical components, Electrical equipment"
Hawkins Cookers,"Mumbai","Consumer goods, Durable household products, Cookware"
HCLTech,"Noida","Industrials, Business support services, Consulting"
HDFC Bank,"Mumbai","Financials, Banks, Bank"
HDIL,"Mumbai","Real estate, Real estate holding & development, Real estate development"
Hero Cycles,"Ludhiana","Consumer goods, Recreational products, Bicycles, part ofHero Motors"
Hero FinCorp,"New Delhi","Financials, Financial services, Financing, part ofHero MotoCorp"
Hero MotoCorp,"Gurugram","Consumer goods, Automobiles, Motorcycles, part ofHero Motors"
HFCL,"New Delhi","Telecommunications, Telecommunications equipment, Optical fiber, telecom equipment"
Himalaya Wellness Company,"Bengaluru","Health care, Ayurvedic producers, Alternative medicines"
Hindalco Industries,"Mumbai","Basic materials, Aluminium, Aluminium"
Hinduja Group,"Mumbai","Conglomerate, —, Automotive, financial services, energy, media, telecom, healthcare"
Hinduja Healthcare,"Mumbai","Health care, Health care providers, Hospitals, part ofHinduja Group"
Hindustan Aeronautics Limited,"Bengaluru","Industrials, Aerospace & defense, State-owned aircraft, defense"
Hindustan Construction Company,"Mumbai","Real estate, Real estate holding & development, Real estate development"
Hindustan Copper,"Kolkata","Basic materials, Copper, State-run mining"
Hindustan Motors,"Kolkata","Consumer goods, Automobiles, Automotive, part ofCK Birla Group"
Hindustan Petroleum,"Mumbai","Energy, Oil refining & marketing, refineries, part ofOil and Natural Gas Corporation"
Hindustan Shipyard,"Visakhapatnam","Industrials, Shipbuilding, Ship building"
Hindustan Times,"New Delhi","Consumer services, Publishing, Daily newspaper"
Hindustan Zinc,"Udaipur","Basic materials, Nonferrous metals, Zinc mining, part ofVedanta Resources(UK)"
HLL Lifecare,"Thiruvananthapuram","Health care, Pharmaceuticals, Medical equipment, State-owned condoms, contraceptives & surgical equipment manufacturing"
HMT Limited,"Bengaluru","Industrials, Diversified industrials, State-owned manufacturing"
Housing Development Finance Corporation,"Mumbai","Financials, Financial services, Housing finance"
iball,"Mumbai","Consumer goods, Consumer electronics, Computers, consumer items"
ICICI Bank,"Mumbai","Financials, Banks, International bank"
IDBI Bank,"Mumbai","Financials, Banks, State bank"
IDFC First Bank,"Mumbai","Financials, Banks, Part ofIDFC"
Indegene,"Bengaluru","Health care, Health care services, Pharmaceutical consultancy"
India Cements,"Tirunelveli","Industrials, Cement, Cement"
India Optel,"Dehradun","Industrials, Electronic & electrical equipment, Opto-electronics, defense products"
Indiabulls,"Gurugram","Financials, Financial services, Finance"
India Infoline,"Mumbai","Financials, Financial services, Financial services"
Indian Bank,"Chennai","Financials, Banks, State-owned financial services"
Indian Hotels Company Limited,"Mumbai","Consumer services, Hotels & motels, Hospitality group,Taj Hotels,Vivanta,Ginger Hotels, part ofTata Sons"
Indian Oil Corporation,"New Delhi","Energy, Oil refining & marketing, Petrochemicals refining"
Indian Overseas Bank,"Chennai","Financials, Banks, Public bank"
Indian Railway Finance Corporation,"New Delhi","Financials, Financial services, Railway finance, part ofIndian Railways"
Indian Railways,"New Delhi","Industrials, Railroads, State railway"
Indian Railway Stations Development Corporation,"New Delhi","Industrials, Railroads, Railway station redevelopment"
Indian Telephone Industries Limited,"Bengaluru","Telecommunications, Telecommunications equipment, State telecom equipment"
IndiGo,"Gurugram","Consumer services, Airlines, Low-cost airline"
IndusInd Bank,"Mumbai","Financials, Banks, Bank"
Infibeam,"Ahmedabad","Technology, Consumer digital services, E-commerce, fintech"
Infosys,"Bengaluru","Industrials, Business support services, Consulting"
Infrastructure Development Finance Company,"Chennai","Financials, Asset managers, Finance, advice"
Infrastructure Leasing & Financial Services,"Mumbai","Financials, Financial services, Infrastructure development"
InMobi,"Bengaluru","Technology, Consumer digital services, Online marketing"
Inox Air Products,"Mumbai","Basic materials, Specialty chemicals, Industrial gases manufacturer & trader"
Inox Wind,"Noida","Utilities, Alternative electricity, Wind power"
Integral Coach Factory,"Chennai","Industrials, Railroad equipment, Part ofIndian Railways"
Intelenet Global Services,"Mumbai","Industrials, Business support services, Consulting, BPO"
Intex Technologies,"New Delhi","Consumer goods, Consumer electronics, Consumer electronics, mobile handsets"
Ircon International,"New Delhi","Industrials, Construction, Railway constructions, part ofIndian Railways"
ITC Limited,"Kolkata","Conglomerate, —, Consumer goods, hotels, industrials"
Ittiam Systems,"Bengaluru","Technology, Software & IT services, Digital signal processing services"
Jabong.com,"Gurugram","Technology, Consumer digital services, E-commerce portal, defunct 2020"
Jain Irrigation Systems,"Jalgaon","Industrials, Agricultural & farm machinery, Irrigation equipment"
Jakson Group,"Noida","Industrials, Industrial engineering, Diesel generators, solar PV modules"
Jawa Motorcycles,"Mysuru","Consumer goods, Automobiles, Motorcycles, joint venture ofMahindra & Mahindra&Jawa Moto(Czechia)"
ISRO,"Bengaluru","Industrials, Aerospace, space industry, State-owned aerospace research, launch vehicles & satellites"
Jaypee Group,"Noida","Conglomerate, —, Engineering, real estate, cement"
Jet Airways,"Mumbai","Consumer services, Airlines, Revived in 2022"
Jio-bp,"Ahmedabad","Energy, Integrated oil & gas, Oil & gas exploration and production, joint venture ofReliance Industries&BP(UK)"
Jio,"Navi Mumbai","Telecommunications, Telecommunications services, Mobile network, part ofJio Platforms"
Jio Platforms,"Navi Mumbai","Conglomerate, —, Telecommunications, e-commerce, media, streaming, online services, virtual reality, part ofReliance Industries"
Jindal Stainless,"New Delhi","Basic materials, Iron & steel, Steel"
Jindal Steel and Power,"New Delhi","Basic materials, Iron & steel, Steel"
Jupiter Wagons,"Kolkata","Railways, Railroad equipment, Railways"
JSW Energy,"Mumbai","Utilities, Conventional electricity, Hydropower & thermal power, part ofJSW Group"
JSW Group,"Mumbai","Conglomerate, —, Automotive, steel, energy, infrastructure, cement, paint, financials"
JSW MG Motor India,"Gurugram","Consumer goods, Automobiles, Automotive, joint venture ofJSW Group&SAIC Motor(China)"
JSW Steel,"Mumbai","Basic materials, Iron & steel, Steel, part ofJSW Group"
Jubilant FoodWorks,"Noida","Consumer services, Restaurants & bars, Food services"
K Raheja Corp,"Mumbai","Real estate, Real estate holding & development, IT Parks, parent company ofRaheja Mindspace"
Kalyani Group,"Pune","Conglomerate, —, Engineering, steel, automotive, defense, energy, infrastructure"
Karbonn Mobiles,"New Delhi","Consumer goods, Consumer electronics, Mobile handsets"
Karnataka Bank,"Mangaluru","Financials, Banks, Bank"
Karur Vysya Bank,"Karur","Financials, Banks, Bank"
Kerala Automobiles Limited,"Thiruvananthapuram","Consumer goods, Automobiles, Auto-rickshaws"
Kerala Electrical and Allied Engineering Company,"Kochi","Industrials, Electrical components, Heavy electricals"
Khadim's,"Kolkata","Consumer goods, Footwear, Footwear"
Kingfisher,"Bengaluru","Consumer goods, Brewery, Alcoholic beverages, brewery, part ofUnited Breweries Group(Netherlands)"
Kirloskar Group,"Pune","Conglomerate, —, Industrials, construction, automotive"
Kokuyo Camlin,"Mumbai","Consumer goods, Nondurable household products, Pens, stationery"
