Name,Location,Industry
Konkan Railway Corporation,"Navi Mumbai","Industrials, Railroads, Railway, part ofIndian Railways"
Kotak Mahindra Bank,"Mumbai","Financials, Banks, Bank"
KPIT Technologies,"Pune","Consumer goods, Automobiles & parts, Automotive engineering & technologies"
KSK Energy Ventures,"Hyderabad","Utilities, Conventional electricity, Thermal power generation"
Kudremukh Iron Ore Company,"Mangaluru","Basic materials, Iron & steel, Mining, iron"
Lakshmi Machine Works,"Coimbatore","Industrials, Diversified industrials, Machinery"
Lakshmi Vilas Bank,"Chennai","Financials, Banks, Bank"
Lanco Infratech,"New Delhi","Conglomerate, —, Power, real estate, distribution"
Larsen & Toubro,"Mumbai","Conglomerate, —, Industrials, ships, equipment, defense"
Lava International,"Noida","Consumer goods, Consumer electronics, Computers, mobile handsets"
Liberty Shoes,"Karnal","Consumer goods, Footwear, Footwear"
Life Insurance Corporation,"Mumbai","Financials, Life insurance, State-owned Insurance company"
Living Media,"New Delhi","Consumer services, Publishing, Publisher"
LYF,"Mumbai","Consumer goods, Consumer electronics, Computers, mobile handsets, part ofJio Platforms"
Mahanadi Coalfields,"Sambalpur","Energy, Coal, Coal mining"
Mahindra Aerospace,"Mumbai","Industrials, Aerospace, Light aircraft manufacturer"
Mahindra & Mahindra,"Mumbai","Consumer goods, Automobiles, Automotive"
Mahindra Group,"Mumbai","Conglomerate, —, Automotive, IT services, finance, hospitality, agribusiness, aerospace, defense, logistics, real estate"
MakeMyTrip,"Gurugram","Technology, Consumer digital services, Travel & tourism"
Mangalore Chemicals & Fertilizers,"Bengaluru","Chemicals, Fertilizers, Fertilizers"
Marico,"Mumbai","Consumer goods, Personal products, Health and beauty"
Maruti Suzuki,"New Delhi","Consumer goods, Automobiles, Automotive, part ofSuzuki(Japan)"
Mastek,"Mumbai","Industrials, Business support services, Consulting"
Max Group,"New Delhi","Conglomerate, —, Investment, financial services, healthcare"
Max Healthcare,"New Delhi","Health care, Health care providers, Part ofMax Group"
Max Life Insurance,"New Delhi","Financials, Life insurance, Part ofMax Group"
Max Ventures and Industries,"New Delhi","Real estate, Real estate holding & development, Part ofMax Group"
Mazagon Dock Shipbuilders,"Mumbai","Industrials, Shipbuilding, Ship building"
MECON,"Ranchi","Industrials, Business support services, Consulting"
Mercator,"Mumbai","Industrials, Marine transportation, Shipping"
Metro Brands,"Mumbai","Consumer goods, Footwear, Footwear"
Microland,"Bengaluru","Technology, Software, Software consulting"
Micromax Informatics,"Gurugram","Consumer goods, Consumer electronics, Consumer electronics, mobile handsets"
Milky Mist Dairy,"Erode","Consumer goods, Food products, Dairy"
Mindtree,"Bengaluru","Industrials, Business support services, Consulting, outsourcing"
Mishra Dhatu Nigam,"Hyderabad","Basic materials, Metal fabricating, Alloys"
Mistral Solutions,"Bengaluru","Industrials, Business support services, Consulting, product design"
MKU,"Kanpur","Industrials, Defense, Military equipment"
MMTC Ltd,"New Delhi","Financials, Investment services, Foreign exchange"
Modern Coach Factory, Raebareli,"Industrials, Railroad equipment, Part ofIndian Railways"
MOIL,"Nagpur","Basic materials, General mining, Mining"
Moser Baer,"New Delhi","Technology, Computer hardware, Defunct in 2018, acquired byVinpower, Inc.(USA)"
Mother Dairy,"Noida","Consumer goods, Food products, Dairy"
Mphasis,"Bengaluru","Industrials, Business support services, Consulting, outsourcing"
MRF,"Chennai","Consumer goods, Tires, Tyres"
MS Shoes,"Delhi","Consumer goods, Footwear, Footwear"
MSTC Limited,"Kolkata","Technology, Consumer digital services, Metal trading, e-commerce"
Mukand,"Mumbai","Basic materials, Iron & steel, Steel"
Munitions India,"Kanpur","Industrials, Defense, Munitions"
Murugappa Group,"Chennai","Conglomerate, —, Cycles, general insurance, fertilizers, abrasives, automotive chains, car door frames, steel tubes & gearboxes"
Muthoot Finance,"Kochi","Financials, Investment services, Financial advice, trading"
Myntra,"Bengaluru","Technology, Consumer digital services, E-commerce"
National Aluminium Company,"Bhubaneswar","Basic materials, Aluminium, Aluminium"
National Fertilizers,"Noida","Chemicals, Fertilizers, Fertilizers"
National Mineral Development Corporation,"Hyderabad","Basic materials, General mining, Mining"
National Payments Corporation of India,"Mumbai","Technology, Consumer digital services, Digital payment"
Nayara Energy,"Mumbai","Energy, Oil refining & marketing, Major stock owned byRosneft(Russia), 49.13%"
NBC Bearings,"Jaipur","Industrials, Electrical components, Bearings"
NBCC,"New Delhi","Real estate, Real estate holding & development, State-owned developer"
NDTV,"New Delhi","Consumer services, Broadcasting & entertainment, Television"
Network18 Group,"Noida","Consumer services, Broadcasting & entertainment, Mass media, part ofReliance Industries"
NHPC,"Faridabad","Utilities, Conventional electricity, Hydroelectric"
NIIT,"Gurugram","Industrials, Business support services, Consulting"
Nilkamal Plastics,"Mumbai","Chemicals, Specialty chemicals, Industrial and consumer plastics"
Nirma,"Ahmedabad","Chemicals, Specialty chemicals, Chemicals, cement, fast moving consumer goods"
NLC India Limited,"Neyveli","Utilities, Conventional electricity, Thermal power generation"
NTPC Limited,"New Delhi","Utilities, Conventional electricity, Thermal power generation"
Nuclear Power Corporation of India,"Mumbai","Utilities, Conventional electricity, State nuclear power generation"
Nykaa,"Mumbai","Technology, Consumer digital services, Online beauty products, e-commerce"
Oil and Natural Gas Corporation,"Dehradun","Energy, Integrated oil & gas, State oil & gas exploration and production"
Oil India,"Duliajan","Energy, Integrated oil & gas, Oil exploration and production"
Ola Electric,"Bengaluru","Consumer goods, Automobiles, Motorcycles, electric vehicles"
Omega Seiki Mobility,"New Delhi","Consumer goods, Automobiles, Automotive, electric vehicles"
One97 Communications,"Noida","Technology, Consumer digital services, Ecommerce and fintech"
Onida Electronics,"Mumbai","Consumer goods, Consumer electronics, Consumer electronics"
OnMobile,"Bengaluru","Telecommunications, Telecommunications services, Mobile operator"
Oracle Financial Services Software,"Mumbai","Technology, Software, Banking software"
Ordnance Factory Board,"Kolkata","Industrials, Defense, Defense systems, firearms. Defunct 2021.Dissolved factories assets transferred to 7PSUsin 2021.[7]"
Oswald Labs,"New Delhi","Technology, Software, Accessibility technology"
Paramount Airways,"Chennai","Consumer services, Airlines, Airline, defunct 2010"
Parle Agro,"Mumbai","Consumer goods, Food products, Drinks"
Parle Products,"Mumbai","Consumer goods, Food products, Food"
Patanjali Ayurved,"Haridwar","Conglomerate, —, Food, ayurvedic & herbal products, cosmetics, personal products"
Pawan Hans,"Noida","Consumer services, Airlines, Helicopter services"
Pentamedia Graphics,"Chennai[8]","Consumer services, Broadcasting & entertainment, Animation studio, digital services"
Persistent Systems,"Nagpur","Technology, Software, Software, consulting"
Petronet LNG,"New Delhi","Energy, Oil refining & marketing, Liquefied natural gas importer, joint ofOil and Natural Gas Corporation,GAIL,Indian Oil Corporation&Bharat Petroleum"
Pidilite Industries,"Mumbai","Chemicals, Specialty chemicals, Adhesives, chemicals"
Pine Labs,"Noida","Technology, Consumer digital services, Merchant payment"
Piramal Group,"Mumbai","Health care, Pharmaceuticals, Pharma"
Power Finance Corporation,"New Delhi","Financials, Financial services, State financing"
Power Grid Corporation of India,"Gurugram","Industrials, Industrial suppliers, State power transmission infrastructures"
PTC India,"New Delhi","Financials, Financial services, State power trading and financial solution"
Praj,"Pune","Chemicals, Specialty chemicals, Ethanol plant, sugar processing"
Punj Lloyd,"New Delhi","Industrials, Construction"
Punjab & Sind Bank,"New Delhi","Financials, Banks, Bank"
Punjab National Bank,"New Delhi","Financials, Banks, Bank"
Protean eGov Technologies,"Mumbai","Technology, Consumer digital services, Digital Public Infrastructure"
PVR INOX,"Gurugram","Consumer services, Broadcasting & entertainment, Movie theaters"
Raheja Developers,"New Delhi","Real estate, Real estate holding & development, Real estate"
Rail India Technical and Economic Service,"Gurugram","Industrials, Engineering and contracting services, Consulting, part ofIndian Railways"
Rajesh Exports,"Bengaluru","Basic materials, Gold mining, Gold mining, refining & jewellery retailer"
Raheja Mindspace,"Mumbai","Industrials, Business support services, Industrial parks"
Ramco Systems,"Chennai","Technology, Software, Software"
Ranbaxy Laboratories,"Gurugram","Health care, Pharmaceuticals, Pharma"
Rapido,"Bengaluru","Consumer goods, Auto services, Bike cabs"
Rashtriya Chemicals & Fertilizers,"Mumbai","Chemicals, Fertilizers, Fertilizers"
Rashtriya Ispat Nigam,"Visakhapatnam","Basic materials, Iron & steel, Steel"
Raymond Group,"Mumbai","Basic materials, Textile products, Textiles"
REC Limited,"New Delhi","Financials, Financial services, Electrical infrastructure financing"
Rediff.com,"Mumbai","Technology, Consumer digital services, Information, shopping portal"
Reliance Capital,"Mumbai","Financials, Asset managers, Part ofReliance Group"
Reliance Communications,"Mumbai","Telecommunications, Telecommunications service providers, Part ofReliance Group"
Reliance Digital,"Mumbai","Retail, Specialty retailers, Electronic items, part ofReliance Retail"
Reliance Entertainment,"Mumbai","Consumer services, Broadcasting & entertainment, Part ofReliance Group"
Reliance Group,"Mumbai","Conglomerate, —, Telecom, financials, industrials, consumer services"
Reliance Health,"Mumbai","Health care, Health care providers, Part ofReliance Group"
Reliance Industrial Infrastructure,"Mumbai","Industrials, Construction, Part ofReliance Industries"
Reliance Industries,"Mumbai","Conglomerate, —, Oil & gas, industrials, consumer services, telecommunications"
Reliance Infrastructure,"Mumbai","Industrials, Construction, Part ofReliance Group"
Reliance Life Insurance,"Mumbai","Financials, Life insurance, Part ofReliance Group"
Reliance MediaWorks,"Mumbai","Consumer services, Broadcasting & entertainment, Part ofReliance Group"
Reliance Naval and Engineering Limited,"Rajula","Industrials, Shipbuilding, Part ofReliance Group"
Reliance Power,"Navi Mumbai","Utilities, Conventional electricity, Thermal power generation, part ofReliance Group"
Reliance Retail,"Mumbai","Retail, Diversified retailers, Supermarkets, part ofReliance Industries"
Route Mobile,"Mumbai","Technology, Consumer digital services, Cloud computing"
Royal Enfield,"Chennai","Consumer goods, Automobiles, Motorcycles"
RPG Group,"Mumbai","Conglomerate, —, Technology, industrials"
RP-Sanjiv Goenka Group,"Kolkata","Conglomerate, —, Industrials, beverages, sports club"
Sahara India Pariwar,"Lucknow","Conglomerate, —, Financials, construction, media, retail"
Samtel Avionics,"New Delhi","Industrials, Aerospace & defense, Aerospace & defense"
Samtel Group,"New Delhi","Conglomerate, —, Electronics, defense, real estate, construction, education"
Saravana Bhavan,"Chennai","Consumer goods, Food products, Food, sweets, bakery, ice cream"
SAS Motors,"Faridabad","Industrials, Agricultural & farm machinery, Tractors"
Sasken Technologies,"Bengaluru","Industrials, Business support services, Engineering"
Sea6 Energy,"Bengaluru","Energy, Alternative energy, Biofuel"
Serum Institute of India,"Pune","Health care, Pharmaceuticals & biotechcnology, Vaccines"
Shapoorji Pallonji Group,"Mumbai","Conglomerate, —, Real estate, industrials, consumer goods"
Shipping Corporation of India,"Mumbai","Industrials, Marine transportation, State-owned shipping"
Shoppers Stop,"Mumbai","Retail, Diversified retailers, Clothing & home departmental stores"
Shree Cement,"Kolkata","Industrials, Cement, Cement"
Shree Ganesh Jewellery House,"Kolkata","Retail, Specialty retailers, Jeweler"
Shree Renuka Sugars,"Belgaum","Consumer goods, Food products, Sugar"
Shriram Group,"Chennai","Conglomerate, —, Financials, industrials, health care"
Singareni Collieries Company,"Kothagudem","Energy, Coal, Coal mining"
Skipper Limited,"Kolkata","Industrials, Electrical components, Electrical transmission infrastructure"
Skyroot Aerospace,"Hyderabad","Industrials, Aerospace, space industry, Launch vehicles"
Snapdeal,"New Delhi","Technology, Consumer digital services, E-commerce"
Sobha,"Bengaluru","Real estate, Real estate holding & development, Developer"
Sonata Software,"Bengaluru","Technology, Software, BI and analytics"
South Indian Bank,"Thrissur","Financials, Banks, Private bank"
SpiceJet,"Gurugram","Consumer services, Airlines, Low-cost airline"
SSS Defence,"Bengaluru","Industrials, Defense, Firearms"
State Bank of India,"Mumbai","Financials, Banks, State bank"
Steel Authority of India Limited,"New Delhi","Basic materials, Iron & steel, State steel"
Sterlite Copper,"Kolkata","Basic materials, Copper, Mining, part ofVedanta Resources(UK)"
Sterlite Technologies,"Pune","Telecommunications, Telecommunications equipment, Optical fiber & cables, part ofVedanta Resources(UK)"
Suminter India Organics,"Mumbai","Consumer goods, Food products, Organic products"
Sun Group,"Chennai","Consumer services, Broadcasting & entertainment, TV, publisher"
Sun Pharma,"Mumbai","Health care, Pharmaceuticals, Pharma"
Surya Roshni,"Delhi","Industrials, Diversified industrials, Fans, PVC, kitchen appliances, lighting, steel"
Suzlon,"Pune","Utilities, Alternative electricity, Turbines"
Swiggy,"Bengaluru","Technology, Consumer digital services, Food delivery, online grocery"
Synthite,"Kochi","Consumer goods, Food products, Value added spice extracts"
T-Series,"Noida","Consumer services, Broadcasting & entertainment, Record and film producer"
Tamil Nadu Newsprint and Papers Limited,"Chennai","Consumer services, Publishing, State publisher"
Tamilnad Mercantile Bank,"Thoothukudi","Financials, Banks, Bank"
Tanla Platforms,"Hyderabad","Technology, Consumer digital services, Cloud computing"
Tara International,"Mumbai","Consumer goods, Automobiles, Automotive, electric vehicles"
Tata Advanced Systems,"Hyderabad","Industrials, Aerospace & defense, Aerospace, defense, part ofTata Sons"
Tata Business Support Services,"Hyderabad","Industrials, Business support services, Part ofTata Sons"
Tata Chemicals,"Mumbai","Chemicals, Chemicals: diversified, Part ofTata Sons"
Tata Communications,"Mumbai","Telecommunications, Telecommunications service providers, Fixed-line telecommunications, part ofTata Sons"
Tata Consultancy Services,"Mumbai","Industrials, Business support services, Part ofTata Sons"
Tata Consumer Products,"Kolkata","Consumer goods, Food products, Tea, coffee, part ofTata Sons"
Tata Group,"Mumbai","Conglomerate, —, Part ofTata Sons"
Tata Interactive Systems,"MumbaiandKolkata","Industrials, Business support services, Part ofTata Sons"
Tata Motors,"Mumbai","Consumer goods, Automobiles, Automotive, Part ofTata Sons"
Tata Play,"Mumbai","Consumer services, Broadcasting & entertainment, Satellite streaming, part ofTata Sons"
Tata Power,"Mumbai","Utilities, Conventional electricity, Thermal power generation, part ofTata Sons"
Tata Steel,"Mumbai","Basic materials, Iron & steel, Part ofTata Sons"
Tata Steel BSL,"New Delhi","Basic materials, Iron & steel, Steel"
Tata Technologies,"Pune","Industrials, Industrial engineering, Engineering & design, IT services, part ofTata Sons"
Tech Mahindra,"Pune","Industrials, Business support services, Consulting, BPO"
Tega Industries Ltd.,"Kolkata","Industrials, Machinery: construction & handling, Mining equipment & handling machinery"
Terumo Penpol,"Thiruvananthapuram","Health care, Medical equipment, Blood bag manufacturer, medical electronics, subsidiary ofTerumo(Japan)"
Texmaco Rail & Engineering,"Kolkata","Industrials, Railroad equipment, Rail engineering"
The Muthoot Group,"Kochi","Conglomerate, —, Financials, travel & leisure, healthcare, real estate"
Thermax,"Pune","Industrials, Electrical components, Energy engineering"
Thyrocare,"Navi Mumbai","Health care, Health care facilities, Diagnostic, preventive care laboratories"
The Times Group,"Mumbai","Consumer services, Broadcasting & entertainment, Media conglomerate"
Titagarh Rail Systems,"Kolkata","Industrials, Railroad equipment, Rail industry"
Titan Company,"Bengaluru","Consumer goods, Clothing & accessories, Watches, luxury products"
Torque Pharmaceuticals,"Mohali","Health care, Pharmaceuticals, Nutrition supplements"
Torrent Group,"Ahmedabad","Conglomerate, —, Health care, industrials"
Toyota Kirloskar Motor,"Bengaluru","Consumer goods, Automobiles, Automotive, joint venture ofKirloskar Group&Toyota(Japan)"
Tractors and Farm Equipment Limited,"Chennai","Industrials, Agricultural & farm machinery, Tractors"
TradeIndia,"New Delhi","Technology, Consumer digital services, Portal"
Travancore Cochin Chemicals,"Kochi","Chemicals, Chemicals: diversified, Chemicals"
Travancore Titanium Products,"Thiruvananthapuram","Chemicals, Specialty chemicals, Titanium dioxide"
Troop Comforts,"Kanpur","Industrials, Defense, Military clothing & equipment"
TTK Prestige,"Chennai","Consumer goods, Durable household products, Cookware"
TVS Motor Company,"Chennai","Consumer goods, Automobiles, Motorcycles"
UCO Bank,"Kolkata","Financials, Banks, State bank"
UltraTech Cement,"Mumbai","Industrials, Cement, Cement"
Union Bank of India,"Mumbai","Financials, Banks, State bank"
Unitech Group,"New Delhi","Real estate, Real estate holding & development, Real estate development"
United Breweries Group,"Bengaluru","Conglomerate, —, Food & beverage, engineering, financials, part ofHeineken(Netherlands)"
UPL,"Mumbai","Chemicals, Specialty chemicals, Chemicals"
USV,"Navi Mumbai","Health care, Pharmaceuticals, Pharma"
V-Guard Industries,"Kochi","Consumer goods, Consumer electronics, Electrical goods, home appliances"
VA Tech Wabag,"Chennai","Utilities, Water, Water treatment"
Vadilal,"Ahmedabad","Conglomerate, —, Chemicals, food & beverage, financials"
Vedanta Limited,"New Delhi","Conglomerate, —, Mining, oil & gas, utility, steel, part ofVedanta Resources(UK)"
Vicco Group,"Mumbai","Health care, Ayurvedic producers, Alternative medicines"
Videocon Group,"Mumbai","Conglomerate, —, Industrials, consumer goods, oil & gas"
Vijaya Bank,"Bengaluru","Financials, Banks, State bank"
VIP Industries,"Mumbai","Consumer goods, Recreational products, Luggage"
Vodafone Idea,"Mumbai","Telecommunications, Telecommunications services, Mobile network, joint venture ofAditya Birla Group&Vodafone(UK)"
Voltas,"Mumbai","Consumer goods, Consumer electronics, Home appliances"
Voonik,"Bengaluru","Technology, Consumer digital services, Online marketplace"
VST Industries,"Hyderabad","Consumer goods, Tobacco, Tobacco"
Wadia Group,"Mumbai","Conglomerate, —, Chemicals, industrials"
Walchandnagar Industries,"Mumbai","Conglomerate, —, Energy, transportation, nuclear industry"
WAPCOS Limited,"New Delhi","Industrials, Engineering and contracting services, Engineering & consultancy"
Welspun Corp,"Mumbai","Industrials, Diversified industrials, Part ofWelspun World"
Welspun Energy,"New Delhi","Utilities, Alternative electricity, Solar power generation, part ofWelspun World"
Welspun Living,"Mumbai","Basic materials, Textile products, Textiles, part ofWelspun World"
Welspun World,"Mumbai","Conglomerate, —, Steel, energy, investments, retail"
West Bengal Electronics Industry Development Corporation,"Kolkata","Industrials, Electronic & electrical equipment, Capacitors, driven equipment, picture tubes, telephone exchanges"
West Bengal State Co-Operative Bank,"Kolkata","Financials, Banks, State bank"
Wipro,"Bengaluru","Industrials, Business support services, Consulting, BPO"
XOLO,"Noida","Consumer goods, Consumer electronics, Mobile handsets"
Yantra India,"Nagpur","Industrials, Defense, Defence equipment"
Yatra,"Gurugram","Consumer services, Travel & tourism, Travel agency"
Yebhi,"Gurugram","Technology, Consumer digital services, E-commerce"
Yepme,"Gurugram","Technology, Consumer digital services, E-commerce"
Yes Bank,"Mumbai","Financials, Banks, Private bank"
Zandu Realty,"Mumbai","Health care, Ayurvedic producers, Alternative medicines, part ofEmami"
Zee Entertainment Enterprises,"Mumbai","Consumer services, Broadcasting & entertainment, Broadcaster"
Zee News,"Mumbai","Consumer services, Broadcasting & entertainment, News channel"
Zensar Technologies,"Pune","Technology, Software & IT services, IT services and software"
Zeta,"Mumbai","Technology, Consumer digital services, Fintech"
Zoho Corporation,"Chennai","Technology, Software, Business management software"
Zomato,"Gurugram","Technology, Consumer digital services, Food delivery"
Zydus Lifesciences,"Ahmedabad","Health care, Pharmaceuticals, Pharma"